ID,Eponym,Derived From / Source,Who/What,Historical / Mythological Rationale,Meaning,Category,Type,Action,Source Batch,Record Status
1,Parkinsonism,James Parkinson,English physician,Clinical syndrome sharing features of Parkinson's disease.,Group of movement disorders,Medicine,Original entry,Review,Original master,Existing
2,Alzheimer Disease,Alois Alzheimer,German neurologist,First described progressive dementia in 1906.,Neurodegenerative disease,Medicine,Original entry,Review,Original master,Existing
3,Hodgkin Lymphoma,Thomas Hodgkin,English physician,Identified a unique lymphatic cancer.,Lymphatic cancer,Medicine,Original entry,Review,Original master,Existing
4,Non-Hodgkin Lymphoma,Thomas Hodgkin,English physician,Lymphomas other than Hodgkin's disease.,Group of blood cancers,Medicine,Original entry,Review,Original master,Existing
5,Crohn Disease,Burrill Crohn,American physician,Chronic inflammatory bowel disease described in 1932.,Intestinal inflammatory disorder,Medicine,Original entry,Review,Original master,Existing
6,Cushing Syndrome,Harvey Cushing,American neurosurgeon,Described symptoms of excess cortisol.,Endocrine disorder,Medicine,Original entry,Review,Original master,Existing
7,Down Syndrome,John Langdon Down,English physician,First clinical description of the condition.,Chromosomal disorder,Medicine,Original entry,Review,Original master,Existing
8,Huntington Disease,George Huntington,American physician,Described inherited neurodegenerative disease.,Genetic neurological disorder,Medicine,Original entry,Review,Original master,Existing
9,Graves Disease,Robert Graves,Irish physician,Autoimmune hyperthyroidism.,Thyroid disorder,Medicine,Original entry,Review,Original master,Existing
10,Hashimoto Disease,Hakaru Hashimoto,Japanese physician,Autoimmune thyroiditis first described in 1912.,Thyroid disease,Medicine,Original entry,Review,Original master,Existing
11,Addison Disease,Thomas Addison,English physician,Adrenal insufficiency described in 1855.,Hormonal disorder,Medicine,Original entry,Review,Original master,Existing
12,Bright Disease,Richard Bright,English physician,Early term for kidney disease.,Kidney disease (historical),Medicine,Original entry,Review,Original master,Existing
13,Paget Disease,Sir James Paget,English surgeon,Bone remodeling disorder.,Bone disease,Medicine,Original entry,Review,Original master,Existing
14,Ménière Disease,Prosper Ménière,French physician,Disorder of the inner ear causing vertigo.,Inner ear disorder,Medicine,Original entry,Review,Original master,Existing
15,Wilson Disease,Samuel Alexander Kinnier Wilson,British neurologist,Copper metabolism disorder.,Genetic metabolic disease,Medicine,Original entry,Review,Original master,Existing
16,Bell's Palsy,Sir Charles Bell,Scottish surgeon,Facial nerve paralysis.,Facial paralysis,Medicine,Original entry,Review,Original master,Existing
17,Hodgkin Sign,Thomas Hodgkin,English physician,Clinical sign named after him.,Medical sign,Medicine,Original entry,Review,Original master,Existing
18,Babinski Sign,Joseph Babinski,French neurologist,Reflex indicating upper motor neuron lesion.,Neurological reflex,Medicine,Original entry,Review,Original master,Existing
19,Romberg Test,Moritz Romberg,German neurologist,Test for proprioception and balance.,Neurological examination,Medicine,Original entry,Review,Original master,Existing
20,Brudzinski Sign,Józef Brudziński,Polish physician,Sign of meningeal irritation.,Clinical sign,Medicine,Original entry,Review,Original master,Existing
21,Kernig Sign,Vladimir Kernig,Russian physician,Another test for meningitis.,Clinical sign,Medicine,Original entry,Review,Original master,Existing
22,Murphy Sign,John Benjamin Murphy,American surgeon,Pain on inspiration suggesting gallbladder inflammation.,Diagnostic sign,Medicine,Original entry,Review,Original master,Existing
23,McBurney Point,Charles McBurney,American surgeon,Point of tenderness in appendicitis.,Anatomical landmark,Medicine,Original entry,Review,Original master,Existing
24,Apgar Score,Virginia Apgar,American anesthesiologist,Rapid assessment of newborn health.,Neonatal scoring system,Medicine,Original entry,Review,Original master,Existing
25,Heimlich Maneuver,Henry Heimlich,American surgeon,Emergency technique for choking victims.,First-aid procedure,Medicine,Original entry,Review,Original master,Existing
26,Foley Catheter,Frederic Foley,American urologist,Inflatable urinary catheter.,Urinary catheter,Medicine,Original entry,Review,Original master,Existing
27,Pap Smear,George Papanicolaou,Greek physician,Cervical cancer screening test.,Diagnostic test,Medicine,Original entry,Review,Original master,Existing
28,Koch's Postulates,Robert Koch,German microbiologist,Criteria linking pathogens to disease.,Principles of microbiology,Medicine,Original entry,Review,Original master,Existing
29,Gram Stain,Hans Christian Gram,Danish bacteriologist,Differential staining technique for bacteria.,Laboratory stain,Microbiology,Original entry,Review,Original master,Existing
30,Ziehl–Neelsen Stain,Franz Ziehl & Friedrich Neelsen,German scientists,Acid-fast staining for tuberculosis bacteria.,Microbiological stain,Microbiology,Original entry,Review,Original master,Existing
31,Giemsa Stain,Gustav Giemsa,German chemist,Stain used for blood cells and parasites.,Laboratory stain,Microbiology,Original entry,Review,Original master,Existing
32,ELISA (Engvall & Perlmann),Eva Engvall & Peter Perlmann,Swedish scientists,Immunological assay developed in 1971.,Diagnostic test,Medicine,Original entry,Review,Original master,Existing
33,Boyden Chamber,Stephen Boyden,British scientist,Device for studying cell migration.,Laboratory apparatus,Biology,Original entry,Review,Original master,Existing
34,Petri Dish,Julius Richard Petri,German bacteriologist,Invented shallow culture dish.,Laboratory dish,Biology,Original entry,Review,Original master,Existing
35,Erlenmeyer Flask,Emil Erlenmeyer,German chemist,Designed conical laboratory flask.,Laboratory flask,Chemistry,Original entry,Review,Original master,Existing
36,Büchner Funnel,Ernst Büchner,German chemist,Funnel for vacuum filtration.,Laboratory equipment,Chemistry,Original entry,Review,Original master,Existing
37,Dewar Flask,James Dewar,Scottish chemist,Double-walled vacuum flask.,Vacuum-insulated container,Chemistry,Original entry,Review,Original master,Existing
38,Pasteur Pipette,Louis Pasteur,French scientist,Glass pipette associated with microbiology.,Transfer pipette,Laboratory,Original entry,Review,Original master,Existing
39,Geiger Counter,Hans Geiger,German physicist,Detects ionizing radiation.,Radiation detector,Physics,Original entry,Review,Original master,Existing
40,Doppler Effect,Christian Doppler,Austrian physicist,Frequency shift due to relative motion.,Wave frequency phenomenon,Physics,Original entry,Review,Original master,Existing
41,Hall Effect,Edwin Hall,American physicist,Voltage produced across a conductor in a magnetic field.,Electromagnetic phenomenon,Physics,Original entry,Review,Original master,Existing
42,Coriolis Effect,Gaspard-Gustave Coriolis,French engineer,Apparent deflection caused by Earth's rotation.,Rotational phenomenon,Physics,Original entry,Review,Original master,Existing
43,Magnus Effect,Heinrich Magnus,German physicist,Spinning object experiences sideways force.,Aerodynamic effect,Physics,Original entry,Review,Original master,Existing
44,Bernoulli Effect,Daniel Bernoulli,Swiss mathematician,Pressure decreases as fluid speed increases.,Fluid dynamics principle,Physics,Original entry,Review,Original master,Existing
45,Doppler Radar,Christian Doppler,Austrian physicist,Radar using the Doppler effect to measure velocity.,Weather and speed radar,Physics,Original entry,Review,Original master,Existing
46,Kelvin Scale,Lord Kelvin,William Thomson,Absolute temperature scale.,Temperature scale,Physics,Original entry,Review,Original master,Existing
47,Celsius Scale,Anders Celsius,Swedish astronomer,Temperature scale based on water's freezing and boiling points.,Temperature scale,Physics,Original entry,Review,Original master,Existing
48,Fahrenheit Scale,Daniel Fahrenheit,German physicist,Mercury thermometer and temperature scale.,Temperature scale,Physics,Original entry,Review,Original master,Existing
